smiles,reagent_id,dhodh_activity,rorgt_activity,ds_1,ds_2
O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],456,0.3958054780960083,0.571372926235199,-7.0,-6.4
CCC(Br)C(=O)O,457,0.4396564066410064,0.5490267872810364,-4.4,-4.1
O=C(O)CS,461,0.4356079995632171,0.532524824142456,-3.6,-3.1
O=C(O)c1ccc(F)cc1,464,0.3913048207759857,0.5701296329498291,-6.3,-5.7
O=C(O)c1cccc(O)c1,465,0.3891977965831756,0.5690014958381653,-6.4,-5.6
CCCCC(=O)O,468,0.4317705631256103,0.5419893264770508,-4.6,-4.2
CCCC(=O)O,470,0.4337993860244751,0.5413556694984436,-4.1,-3.7
O=C(O)c1ccc(Cl)cc1,471,0.3931282460689544,0.5711705088615417,-6.2,-5.9
O=C(O)c1ccccc1O,472,0.3890169858932495,0.5693449974060059,-6.2,-5.8
O=C(O)c1cccnc1,473,0.3888289332389831,0.5698668956756592,-5.8,-5.3
CCCCCCCCC(=O)O,474,0.4262970089912414,0.5482110977172852,-5.4,-5.2
Nc1ccc(C(=O)O)cc1,476,0.3867200016975403,0.5813415050506592,-6.4,-5.5
O=C(O)CCCCCCC(=O)O,487,0.4275204539299011,0.5395922064781189,-5.4,-5.2
O=C(O)c1ccc2ccccc2n1,488,0.3629067242145538,0.5774867534637451,-7.8,-7.2
O=C(O)c1cc([N+](=O)[O-])ccc1Cl,489,0.3983107805252075,0.5726046562194824,-7.1,-6.5
CCCCO,493,0.4380699694156647,0.5533868670463562,-3.9,-3.4
CCC(C)O,494,0.4372277557849884,0.5615524649620056,-3.8,-3.2
OC1CCCCC1,497,0.4020949602127075,0.5717114806175232,-5.0,-4.5
OCCCl,499,0.4541017115116119,0.5364725589752197,-3.2,-2.6
CC(O)C(C)O,503,0.4346709251403808,0.5599365830421448,-4.0,-3.7
OCCCCO,504,0.4326626062393188,0.5445421934127808,-4.1,-3.4
C#CCO,507,0.4697707593441009,0.5305473804473877,-3.5,-2.8
CC(C)CCO,510,0.4339576959609985,0.5557418465614319,-4.4,-3.9
CC(C)CO,512,0.4410383701324463,0.5559324622154236,-3.8,-3.4
CCCO,513,0.446041077375412,0.5530270934104919,-3.4,-2.9
CCCCS,518,0.4359025061130523,0.5560598969459534,-3.4,-3.2
OCCS,519,0.4445821940898895,0.5414049029350281,-3.1,-2.4
OC1CCCC1,521,0.402212917804718,0.5723882913589478,-4.2,-3.9
CC(C)CC(N)C(=O)O,528,0.4291648864746094,0.552104115486145,-5.1,-5.0
CC(O)C(N)C(=O)O,530,0.4368857443332672,0.5524709820747375,-4.5,-4.6
CC(C)C(N)C(=O)O,532,0.4357179701328277,0.5567469596862793,-4.7,-4.5
Ic1ccccc1,534,0.3795775771141052,0.5653756260871887,-5.4,-4.9
N#CCc1ccccc1,535,0.4055915474891662,0.566740870475769,-6.1,-5.4
O=[N+]([O-])c1cc(Cl)ccc1Cl,538,0.4023650586605072,0.5652760863304138,-6.2,-5.7
Cc1ccc(Br)cc1,539,0.3844744563102722,0.5694220662117004,-5.4,-5.4
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,541,0.4011658728122711,0.5695915222167969,-6.9,-6.4
Oc1ccccc1F,544,0.3886374831199646,0.5626444816589355,-5.5,-5.1
Oc1ccc(Br)cc1,545,0.384229451417923,0.5659463405609131,-5.3,-5.0
Oc1ccccc1Cl,546,0.3928609788417816,0.5663365721702576,-5.4,-5.0
Oc1ccc(Cl)cc1,547,0.3875714838504791,0.562971293926239,-5.4,-5.0
Sc1ccc(Cl)cc1,548,0.3834739625453949,0.5636077523231506,-4.8,-4.8
