smiles,reagent_id,EGFR_activity,MET_activity,ds_1,ds_2
O=C1CCc2c1cccc2[N+](=O)[O-],3005601,0.1277532128617167,0.4295285478234291,-6.0,-6.7
Cc1cccc(Oc2cccc(N)c2)c1,3005607,0.572417813539505,0.4923459187150001,-7.3,-7.6
N#Cc1ccc(N)c(O)c1,3005610,0.3343007959425449,0.7119328498840332,-5.0,-5.5
Clc1ncnc2c(Cl)cccc12,3005633,0.8867468297481537,0.9719838500022888,-5.8,-6.1
Oc1cccc(C(F)F)c1,3005691,0.3947714924812316,0.8798742592334747,-5.7,-6.0
O=C(O)c1cc(Cl)c(F)cc1F,3005708,0.7546200215816498,0.998316103219986,-5.8,-6.2
C#Cc1cccc(C(=O)O)c1,3005764,0.8029774963855744,0.9065902709960938,-5.4,-6.0
Oc1cccc(CCl)c1,3005790,0.5111120924353599,0.915847223997116,-5.4,-5.6
N#Cc1cc(F)c(Cl)cc1F,3005814,0.4617668077349662,0.9989977896213532,-5.3,-5.8
Nc1cccc2c1CCO2,3005816,0.4631015256047249,0.9016944229602812,-5.9,-5.8
CC(=O)c1ncccc1F,3005829,0.4850220173597336,0.9157267153263092,-5.1,-5.4
Nc1ccc(-n2ccccc2=O)cc1,3005843,0.5399746119976043,0.6175549119710922,-6.8,-7.6
Clc1ccc2cc[nH]c2n1,3005878,0.5566701710224151,0.8044655710458756,-5.4,-5.8
Brc1ccc2cc[nH]c2n1,3005879,0.6524957716464996,0.7970993518829346,-5.4,-5.9
N#Cc1ccc2cc[nH]c2n1,3005883,0.4664814993739128,0.6359515637159348,-5.3,-5.8
Clc1cnc2[nH]ccc2c1,3005886,0.7484778672456741,0.9225785791873932,-5.2,-5.7
Nc1cnc2[nH]ccc2c1,3005890,0.7254775613546371,0.650775334239006,-5.6,-5.5
Brc1cnc2c(c1)CCN2,3005897,0.9330506801605224,0.9946930587291718,-5.2,-5.7
CC(C)c1ccc2[nH]c(N)nc2c1,3005911,0.2196886628866195,0.9444096684455872,-6.8,-7.3
N#Cc1ccc2[nH]c(=O)[nH]c2c1,3005912,0.1729781357571482,0.877627170085907,-5.6,-6.2
Brc1cnn2ccccc12,3005972,0.6788886398077011,0.9112229824066164,-5.1,-5.5
Cn1c(=O)c(CO)cc2ccccc21,3006000,0.5060846216976642,0.9148803532123566,-7.1,-6.7
CC(N)c1cscn1,3006095,0.9940690696239473,0.9989617168903352,-4.4,-4.3
NCc1ncco1,3006124,0.9648196816444397,0.998199898004532,-3.9,-4.2
NC(=S)c1nccs1,3006141,0.8519761264324188,0.9138556480407716,-3.9,-4.3
Nc1n[nH]c2cc(F)ccc12,3006162,0.8710651159286499,0.9510755062103272,-6.6,-6.2
Cc1ccc2c(c1)CCNC2,3006168,0.8319029927253723,0.986370426416397,-5.9,-6.7
Clc1ccc2c(c1)CCNC2,3006169,0.7054745733737946,0.9923526704311372,-5.7,-6.5
Fc1ccc2c(c1)CCNC2,3006170,0.7814190506935119,0.9951674282550812,-6.2,-6.4
Cc1ccc2c(n1)NCCO2,3006213,0.6622872829437256,0.953870129585266,-5.5,-5.6
Cc1ccc2c(n1)NCCC2,3006215,0.7525281846523285,0.9369285106658936,-5.8,-6.3
Cc1cc(Cl)c(O)c(C=O)c1,3006233,0.7903767883777618,0.9780488729476928,-5.3,-5.6
Cc1cc(O)c(C=O)cc1C,3006308,0.7638779759407044,0.8733894169330597,-5.8,-5.9
