smiles,pik3ca_activity,mtor_activity
Oc1cccc(-c2nc(N3CCOCC3)c3[nH]cc(C4CCN(Cc5ccccc5)CC4)c3n2)c1,1.0,1.0
Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,1.0,
Cc1nc(N)nc(-n2c(Nc3ccc4cc[nH]c4c3)nc3ccccc32)n1,1.0,1.0
COc1ccc2c(-n3ccnc3)c3ccoc3nc2c1,0.0,
Cc1nccc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,1.0,1.0
Cn1ccc2nc(-c3cccc(CO)c3)nc(N3CCOCC3)c21,1.0,
COC[C@H]1OC(=O)/C(=C/N2CCN(c3ccccc3)CC2)C2C(=O)C(=O)C3C(=C(OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1.0,1.0
COC[C@H]1OC(=O)/C(=C/N(CCCN(C)C)C(C)(C)C)C2C(=O)C(=O)C3C(=C(OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1.0,1.0
COc1cnc(Nc2cnc(Cl)c(NS(=O)(=O)N(C)C)c2)c(-c2nc(C)nc(N)n2)c1,1.0,
CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3o2)CC1,1.0,
CC(C)(O)c1ccc(-c2cnc3nc(O)n(CC4CCCCC4)c3n2)cc1,0.0,1.0
CC(C)Oc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,1.0,
COc1ccc2[nH]cc(/C=C3/Oc4ccc(NC(=O)Nc5ccc(C(=O)N6CCN(C)CC6)cc5)cc4C3=O)c2c1,1.0,
Cn1ncc2c(NCCCS(C)(=O)=O)nc(-c3cccc4n[nH]cc34)nc21,1.0,
CC(=O)Nc1nc2c(F)cc(-c3cncc(S(C)(=O)=O)c3)cn2n1,0.0,
COc1cccc2c1CCN2C(=O)Cc1nc(O)cc(N2CCOCC2)n1,1.0,
COc1ccc(-c2nn([C@@H]3CCNC3)c3ncnc(N)c23)cc1O,1.0,1.0
CC(C)N(C)C(=O)c1cc2c(s1)-c1ccccc1OC2,1.0,
Cc1ccc2nc(Cc3nc(O)cc(N4CCOCC4)n3)[nH]c2c1,1.0,
Cc1ccc2nc(Cc3nc(=O)cc(N4CCOCC4)[nH]3)[nH]c2c1,1.0,
c1ccc(-n2ncc3c(N4CCOCC4)nc(-c4ccc5[nH]ccc5c4)nc32)cc1,1.0,1.0
