smiles,egfr_activity,met_activity
Cc1c(-c2cccc(OCc3ccccc3)c2)c2c(N)ncnc2n1C1CC(CN2CCCC2)C1,1.0,1.0
O=c1c2cc(F)c(NCc3ccccc3)c(F)c2n(C2CC2)c2snc(O)c12,1.0,1.0
COc1cccc(CNC(=O)c2cc3c(-c4ccccc4)[nH]nc3s2)c1,1.0,1.0
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CC(C)(C)N)cnc(N)c34)cc2)c1,1.0,1.0
CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(C3=CCCCC3)c2)CC1,1.0,1.0
CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1,1.0,1.0
CC(C)(CO)CNc1nccc(-c2c(-c3ccc(F)cc3)nc3c(CC4CC4)nccn23)n1,1.0,1.0
NC(=O)c1cc2c(-c3ccc(F)cc3)cncc2s1,1.0,1.0
c1ccc(Cn2cc(-c3ccc4[nH]ncc4c3)nn2)cc1,1.0,1.0
NC(COc1cncc(-c2cc3ccncc3s2)c1)Cc1c[nH]c2ccccc12,1.0,1.0
Cc1cccc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)c1,1.0,1.0
Cc1cc(O)ccc1-n1c2cc(Cl)ccc2c(=O)c2c(N)nc(N)nc21,1.0,1.0
CC(=O)N1CCN(C2CCC(n3nc(-c4ccc(NC(=O)c5cc6ccccc6n5C)cc4)c4c(N)ncnc43)CC2)CC1,1.0,1.0
COCCn1cc(-c2ccncn2)c(-c2ccc(Cl)cc2)n1,1.0,1.0
CN(C)c1cc2cc(n1)CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CCC2,1.0,1.0
NCC(O)C(O)Cn1cc(I)c2c(N)ncnc21,1.0,1.0
CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,1.0,1.0
CC(C)(C)c1ccc2nc(-c3n[nH]c4ccccc34)[nH]c2c1,1.0,1.0
O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,1.0,1.0
Clc1ccc(-c2n[nH]cc2-c2ccncn2)cc1Cl,1.0,1.0
CC1CCN(C(O)C=O)CC1N(C)c1ncnc2[nH]ccc12,1.0,1.0
CNC(=O)c1cc2c(-c3ccccc3F)[nH]nc2s1,1.0,1.0
CN1CCN(CCCNc2cccc(-c3nc4c(C(N)=O)cccc4[nH]3)n2)CC1,1.0,1.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1.0,1.0
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1.0,1.0
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCN5CCOCC5)cnc(N)c34)cc2)c1,1.0,1.0
Oc1nc2sc3c(c2c2nc(-c4ccncc4)nn12)CCCC3,1.0,1.0
OCCC(Nc1nc2ccc(-c3ccncc3)cc2s1)c1ccccc1,1.0,1.0
CCC(N)(C#Cc1cnc(N)c2c(-c3ccc(NC(=O)Nc4cccc(C)c4)cc3)csc12)CC,1.0,1.0
O=C(NNC(=S)Nc1ccc(F)cc1)C(O)(c1ccccc1)c1ccccc1,1.0,1.0
CCCC(=O)Nc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3cc(OCCN4CCCC4)ccc3n2)c1,1.0,1.0
CN1CCC(C(=O)n2nc(N)c3cc(-c4cn(Cc5ccccc5)nn4)ccc32)CC1,1.0,1.0
NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1,1.0,1.0
Cc1cc(C)cc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1,1.0,1.0
CC(C)(C)OC(=O)n1ncc2cc(N=C3C(=O)C(=O)C3NCc3ccc(Cl)cc3Cl)ccc21,1.0,1.0
CCOC(=O)C1=c2sc(=Cc3ccco3)c(=O)n2C(=N)C(C#N)C1c1ccco1,1.0,1.0
CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,1.0,1.0
O=C1Nc2ccccc2Nc2nnc(I)cc21,1.0,1.0
FC(F)(F)c1ccc(Cn2cc(-c3ccc4[nH]ncc4c3)nn2)c(C(F)(F)F)c1,1.0,1.0
O=C1N=c2ccc(Br)cc2=C1c1sc(S)nc1O,1.0,1.0
NC(=O)Cn1cc(-c2cc(-c3cc4ccccc4s3)c3n[nH]cc3c2)c2nc(N)ncc21,1.0,1.0
CC(=O)c1cccc(-c2cnc3[nH]ccc3c2)c1,1.0,1.0
Cc1nnc(-c2cc3c(Oc4ccc(C(F)(F)F)cc4)cncc3s2)o1,1.0,1.0
