smiles,pik3ca_activity,mtor_activity
CNC(=O)Nc1ccc(-c2cc(-c3ccnc(Nc4ccc(C)c(S(=O)(=O)N(C)C)c4)n3)ccn2)cc1,1.0,1.0
c1cncc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5ccc6[nH]ccc6c5)nc43)CC2)c1,1.0,1.0
Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1,1.0,1.0
COc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O,1.0,1.0
OCc1cccc(-c2nc(N3CCOCC3)c3ncn(C4CCN(Cc5ccccn5)CC4)c3n2)c1,1.0,1.0
CN(Cc1cccnc1)C(=O)C1CCN(c2ccnc3c2c(/C=C2\Oc4ccc(NC(=O)Nc5cccnc5)cc4C2=O)cn3C)CC1,1.0,1.0
Oc1cccc(-c2nc3ncnc-3c(N3CCOCC3)[nH]2)c1,1.0,1.0
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)NCCCN(C)C)cc4)cc3)nc21,1.0,1.0
Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(N3CCC(N)CC3)ccnc21,1.0,1.0
O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,1.0,1.0
Nc1ncnc2c1c(-c1cnc3ccccc3c1)nn2C1CCCC1,1.0,1.0
COc1ccc2c(c1)c(/C=C1\Oc3cc(O)cc(O)c3C1=O)c(C)n2CCCN1CCOCC1,1.0,1.0
COc1cc(Br)cc(-c2nn(C(C)C)c3ncnc(N)c23)c1,1.0,1.0
Cc1nc(N)nc(-n2c(Nc3n[nH]c4ccccc34)nc3ccccc32)n1,1.0,1.0
CN(C)CCOc1ccc(NC(=O)Nc2ccc(-c3nc(N4C5CCC4COC5)nc(N4C5CCC4COC5)n3)cc2)cc1,1.0,1.0
Cc1nc(N)nc(-n2c(Nc3cccc(C(N)=O)c3)nc3ccccc32)n1,1.0,1.0
CC(=O)Nc1nc2ccc(-c3ccnc(NS(=O)(=O)c4ccccc4F)n3)cc2s1,1.0,1.0
Cc1cc(C(=O)Nc2cnc3[nH]ccc3c2)c2nc(C)nc(N)c2c1,1.0,1.0
CNC(=O)Nc1ccc(-c2nc(N3C[C@@H]4C[C@H]3CO4)c3cnn(CC(F)(F)F)c3n2)cc1,1.0,1.0
c1ccc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5ccc6cc[nH]c6c5)nc43)CC2)cc1,1.0,1.0
COC[C@H]1OC(=O)/C(=C/N2CCN(CCCN(C)C)CC2)C2C(=O)C(=O)C3C(=C(OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1.0,1.0
CC(C)n1nc(-c2ccc3nccc(N)c3c2)c2c(N)ncnc21,1.0,1.0
CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C)CC4)c3n2)cc1,1.0,1.0
Cc1nc(N)nc(-n2c(Nc3ccnn3C)nc3ccccc32)n1,1.0,1.0
Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3CC4CCC3CO4)ccnc21,1.0,1.0
C=CCn1nc(-c2ccc(OCC)c(OC)c2)c2c(N)ncnc21,1.0,1.0
Oc1cccc(-c2nc(N3CCOCC3)c3[nH]cc(C4CCN(Cc5ccc(F)cc5)CC4)c3n2)c1,1.0,1.0
CNC(=O)c1ccc2c(c1)OCCc1cc(C(=O)N(C)c3ccc(C(=O)N(C)C)cc3Cl)sc1-2,1.0,1.0
O=S(=O)(Nc1cc(-c2ccc3nccc(N4CCN(Cc5ccncc5)CC4)c3c2)cnc1Cl)c1ccc(F)cc1,1.0,1.0
CNC(=O)Nc1ccc(-c2cc(-c3ccnc(Nc4ccc(C)c(S(=O)(=O)NC)c4)n3)ccn2)cc1,1.0,1.0
Oc1nc2ccc(-c3nc(N4CCOCC4)c4cnn(C5CCN(Cc6ccccc6)CC5)c4n3)cc2[nH]1,1.0,1.0
CN(C)CCN(C)C(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)c4ccn(CC(F)(F)F)c4n3)cc2)cc1,1.0,1.0
C=S(O)(O)=Cc1cc(N2CCOCC2)nc(-c2cccc3[nH]ccc23)n1,1.0,1.0
Cc1nc(N)nc(-n2c(Nc3ccc4c[nH]nc4c3)nc3ccccc32)n1,1.0,1.0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(C(C)(C)C)cc4)c3)cc2s1,1.0,1.0
COc1ccc2[nH]c(-c3c(C)nn(C)c3C)c(/C=C3/Oc4ccc(NC(=O)Nc5cccnc5)cc4C3=O)c2c1,1.0,1.0
Cc1ccc(-c2nn(C)c3ncnc(N)c23)cc1O,1.0,1.0
Oc1cncc(-c2nc(N3CCOCC3)c3ncn(C4CCN(Cc5ccc(Cl)cc5)CC4)c3n2)c1,1.0,1.0
OCc1ccc(-c2nc(N3CCOCC3)c3ncnc-3[nH]2)cc1,1.0,1.0
COc1ncc(-c2nn(C(C)C)c3ncnc(N)c23)c(OC)n1,1.0,1.0
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(CCO)/N=C/c1cnn2ccc(C#N)cc12,1.0,1.0
CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3ccn(CCN(C)C)c3n2)cc1,1.0,1.0
O=C(NCCF)Nc1ccc(-c2nc(C3=CCOCC3)c3cnn(CC(F)(F)F)c3n2)cc1,1.0,1.0
c1cc2cc(-c3nc(N4CCOCC4)c4cnn(C5CCNCC5)c4n3)ccc2[nH]1,1.0,1.0
O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3sccc3n2)cc1)NC1CC1,1.0,1.0
