smiles,egfr_activity,met_activity
CCN(CC)[C@@](C)(C#Cc1ncnc2cc(OC)c(OC)cc12)Cc1ccccc1,1.0,
CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,0.0,
Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,1.0,
CC(C)(C)c1n[nH]c2c1C(c1ccccc1F)C(C#N)C(=N)O2,1.0,1.0
Fc1ccc(Nc2ncnn3cccc23)cc1Cl,1.0,
COc1cc2c(cc1OC)Sc1ncnc(Oc3cccc(Br)c3)c1NC2,0.0,
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,1.0,
COc1cc2c(cc1OC)Sc1nc(C)nc(Nc3ccc4ccccc4c3)c1NC2,0.0,
CC(C)(C)C(=O)Nc1nc(Nc2ccccc2)c2c(n1)[nH]c1cccc(Cl)c12,0.0,
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(CC(C)O)CC(C)O,1.0,
CCOC(=O)Cc1cc(NCc2cc(O)ccc2O)ccc1O,1.0,
O=S1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6ccccc6)c(Cl)c5)c4c3)o2)CC1,1.0,
COc1cc(O)c2c(c1)CCN(c1cccc(C(=O)N3CCCCC3)c1)C2=O,1.0,
Nc1ncnc2c1ncn2CC(=O)c1ccccc1,0.0,
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC1CCN(S(C)(=O)=O)CC1,1.0,
COCCN(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0,
Oc1c2c(-c3ccccc3)c3c(nc2nc2nnc(S)n12)-c1ccccc1CC3,0.0,
N#CC(C#N)=Cc1cccc(O)c1,0.0,
COc1cc(/C=C2\CCCC(C=C3CCCCC3)C2=O)cc(OC)c1,1.0,
CN1CCN(CCCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,1.0,
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccccc1,1.0,
Clc1cccc(Nc2[nH]cnc3nnc(NCc4ccccc4)c2-3)c1,1.0,
Nc1nn2c(O)cc(-c3ccccc3)nc2c1/N=N/c1ccc2c(c1)OCO2,1.0,
CN(C)C=CCC(=O)N1CCc2c(sc3ncnc(N[C@H](CO)c4ccccc4)c23)C1,1.0,
Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CNC6CCNCC6)c45)ccc32)c1,1.0,
CCCCCCCCN[C@H](C)[C@@H](O)c1ccc(SC(C)C)cc1,1.0,
COc1ccc(C2CC(c3ccc(Br)c(Br)c3)=NN2C(N)=S)cc1,1.0,
CN1CCN(Cc2ccc(C(=O)Nc3ccc(-c4cncc(C#N)c4Nc4ccc(OCc5ccccn5)c(Cl)c4)cc3)cc2)CC1,1.0,
O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,1.0,1.0
O=C(O)CCC(=O)Nc1ccc2c(c1)C(=Nc1cccc(Br)c1)NS2(=O)=O,0.0,
C=CCN(C)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.0,
COc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(F)cc3)C2)cc1,1.0,
OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1.0,
O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(NCc4cccc(Oc5ccccc5)c4)c3s2)C1)N1CCOCC1,1.0,
O=[N+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,0.0,1.0
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,1.0,
Cn1[c]c(C(=O)O)c2ccccc21,1.0,
CN(c1cccc(Br)c1)c1nc(N)nc2c1cc(Cc1ccccc1)n2C,0.0,
CONC(=O)c1cc(/N=C/c2cc(O)ccc2O)ccc1O,0.0,
CCN1/C(=C/C(C)=O)Sc2ccc(OC)cc21,0.0,1.0
CCCC(=O)Nc1nn(C(=O)CC)c2nc3ccccc3cc12,1.0,1.0
C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,1.0,
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(Cl)c2)c(O)c1,1.0,
Cc1cc2cc(Nc3ncnc4cc(-c5ccccc5)sc34)ccc2[nH]1,1.0,
CC(C)(C)OC(=O)NCCNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,1.0,
Cc1ccc(F)c(C(=O)n2nc(Nc3ccc(S(N)(=O)=O)cc3)nc2C)c1F,0.0,
Nc1nc(Nc2cccc(Br)c2)c2ccn(Cc3ccc(Cl)cc3)c2n1,0.0,
COc1ccc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)cc1Cl,1.0,1.0
O=C(CCc1c(S)[nH]c2ccccc12)NCc1ccccc1,0.0,
Cc1nc(-c2ccccc2)c(-c2ccncc2)o1,0.0,1.0
O=S1CCN(Cc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)o2)CC1,1.0,
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OCCCN1CCOCC1,1.0,
C=CS(=O)(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC,1.0,
