smiles,reagent_id,gsk3b_activity,jnk3_activity,ds_1,ds_2
Oc1ccccc1-c1ccccc1,574,0.0002938964342844,0.0001067096621622,-6.9,-7.4
Oc1ccc2c(c1)OCO2,576,0.0061420589214435,6.492930283010862e-05,-5.4,-5.6
Oc1ccc(Cl)cc1Cl,579,0.0045634653875593,0.0001633892051625,-5.4,-5.3
CCBr,584,4.418110886490553e-06,1.4591874700959376e-08,-2.3,-2.2
CC(C)I,589,2.420874149967097e-06,1.2255944676975054e-07,-2.9,-2.8
CCCI,590,3.777921959996242e-06,7.81365502224e-09,-2.8,-2.8
CCCCCl,592,4.310924284590293e-06,1.9916347834573886e-08,-3.2,-3.1
CCCCBr,593,3.9671974455111234e-05,1.3894578565544645e-07,-3.3,-3.1
CCCCI,594,4.6452056178330605e-05,9.131122825753676e-08,-3.3,-3.2
CC(C)CBr,595,2.47508774518625e-06,1.1803044897032675e-09,-3.3,-3.3
CCCCCBr,599,0.000129871827266,1.778624887768149e-06,-3.6,-3.6
CC(C)CCBr,600,2.611353289516669e-07,1.1385221395607368e-08,-3.8,-3.7
CCCCCCBr,602,0.000268545491683,3.136137273426378e-05,-4.1,-3.9
CCCCCCCCl,604,0.0005905998057045,0.0008366738000251,-4.3,-4.1
CCCCCCCCCl,605,0.0018426510170229,0.0060854046058715,-4.6,-4.5
CCCCCCCCI,606,0.0219419004116844,0.0425168103744017,-4.4,-4.5
CCCCCCCCCCBr,607,0.0223401457304134,0.0527342730475565,-5.1,-4.5
CCCCCCCCCCI,608,0.0660634225030662,0.0871464037404519,-4.9,-4.9
N#Cc1ccc(CCl)cc1,613,0.0963335090018517,0.0075471023730656,-5.5,-5.6
ClCc1ccc(Cl)cc1,615,0.0002677647024762,0.0004234128127517,-5.4,-5.4
O=[N+]([O-])c1ccc(CBr)cc1,616,0.009681223104132,0.0375419279649577,-5.9,-6.1
CCCCCI,622,0.000200597857927,3.939525359061244e-06,-3.7,-3.6
CCCCCCCCCCl,624,0.0052389188989764,0.0196173298909075,-4.8,-4.8
NC(=O)CCl,628,0.0029809774045808,0.0003273254903074,-3.0,-3.2
NS(=O)(=O)c1ccccc1,642,0.002268606262622,0.0003607927404577,-5.4,-5.6
NS(=O)(=O)c1ccc2ccccc2c1,643,0.0025349381171539,0.0051487296037521,-7.6,-7.8
NS(=O)(=O)c1cc(Cl)ccc1Cl,644,0.0019689805924901,0.0015506203416607,-5.9,-6.4
NS(=O)(=O)c1ccc(Cl)cc1,645,0.0014437134152551,0.0006482714186685,-5.8,-5.9
O=C1CCC(=O)N1,652,0.0153045857936055,1.932461812664702e-06,-4.2,-4.2
CC(=O)c1ccc(C#N)cc1,659,0.0288626248870969,0.0020161057541258,-6.0,-6.2
O=C(O)c1c(F)cccc1Cl,661,0.0004717149996548,0.0158160704761485,-5.8,-6.1
S=C=Nc1ccc(Cl)cc1,669,0.0022666113249686,0.005712848953641,-5.5,-5.5
NC(CCC(=O)O)C(=O)O,670,0.0001656004146673,0.000227244429265,-4.3,-4.5
CCCCCCCCCCC(=O)O,672,0.0023164362464285,0.0100901406280079,-5.0,-5.4
O=C(O)CCCC(=O)O,673,0.0008276643308561,0.000683796487662,-4.2,-4.5
CCCCCCCC(=O)O,674,0.0002910454848249,0.0010653788370944,-4.7,-4.8
CC(=O)C(=O)O,675,0.0014972066122254,0.0025118867259049,-3.2,-3.4
N#CCCl,685,0.0055392709092606,2.3857285025978428e-06,-2.4,-2.4
C1COCCN1,686,0.0178495915131303,6.227674626460889e-05,-3.0,-3.5
COc1ccccc1O,688,0.0017445880151616,0.000784869565745,-4.9,-5.0
CC(=O)c1ccccc1O,689,0.0012272220859802,0.0001508762140521,-5.7,-5.6
CCCBr,693,6.115153275217612e-06,6.398773901585587e-09,-2.8,-2.7
CC(=O)C(F)(F)F,695,0.0026817323489261,0.000195290608895,-3.9,-4.0
NCCN,699,0.5073646958282488,0.0012517541521764,-2.4,-2.5
